,date,open,high,low,close,volume,average,barCount,RSI,EMA_9,EMA_26,ATR,roll_max_vol,EMA_9-EMA_26,bar_num,OBV,obv_slope,ES_C_close,ES_P_close
0,2020-11-20 06:25:00,3578.0,3578.25,3577.0,3577.5,383.0,3577.7,131.0,41.29843902189354,3577.817895203132,3577.8408150572996,0.8205632350641057,848.0,-0.022919854167412268,1.0,383.0,0.0,28.625,26.375
1,2020-11-20 06:26:00,3577.25,3577.25,3576.25,3576.75,383.0,3576.75,106.0,29.27749906149523,3577.6043161625057,3577.760013941944,0.8420350733109003,848.0,-0.1556977794384693,1.0,0.0,0.0,28.25,26.75
2,2020-11-20 06:27:00,3576.5,3576.75,3575.25,3575.25,617.0,3575.775,177.0,16.9460636379428,3577.1334529300048,3577.5740869832816,0.8749333196453553,848.0,-0.4406340532768809,1.0,-617.0,0.0,27.875,27.375
3,2020-11-20 06:28:00,3575.5,3576.0,3575.25,3575.25,183.0,3575.5,67.0,16.9460636379428,3576.7567623440036,3577.4019323919274,0.8686866536630875,848.0,-0.6451700479237843,1.0,-617.0,0.0,27.75,27.375
4,2020-11-20 06:29:00,3575.5,3575.75,3574.75,3575.5,750.0,3575.225,199.0,25.15541454972736,3576.505409875203,3577.261048511044,0.8752523209799332,848.0,-0.7556386358410236,1.0,133.0,-24.075091778071585,27.75,27.375
5,2020-11-20 06:30:00,3575.25,3576.25,3575.25,3576.0,935.0,3575.85,259.0,39.985531401735656,3576.4043279001626,3577.167637510226,0.8814897049309366,935.0,-0.7633096100635157,1.0,1068.0,34.415193350493716,28.0,27.125
6,2020-11-20 06:31:00,3576.0,3576.0,3573.5,3574.75,1788.0,3574.85,426.0,24.694550784346887,3576.07346232013,3576.9885532502094,0.9624152196843898,1788.0,-0.9150909300792591,1.0,-720.0,18.307958586649523,27.5,27.625
7,2020-11-20 06:32:00,3574.75,3575.5,3574.5,3575.25,720.0,3575.075,154.0,36.78219999897791,3575.9087698561043,3576.8597715279716,0.9642944587001704,1788.0,-0.9510016718672887,1.0,0.0,4.871824852187069,27.625,27.375
8,2020-11-20 06:33:00,3575.5,3576.0,3575.0,3575.5,517.0,3575.5,136.0,42.54608237328974,3575.8270158848836,3576.759047711085,0.9660797357651619,1788.0,-0.9320318262011824,1.0,517.0,-3.839596337953472,27.75,27.25
9,2020-11-20 06:34:00,3575.5,3576.0,3575.25,3575.75,279.0,3575.575,98.0,48.42412035508,3575.811612707907,3576.6843034361896,0.9552757489769037,1788.0,-0.8726907282825778,1.0,796.0,8.812610545027262,27.75,27.25
10,2020-11-20 06:35:00,3575.5,3575.75,3574.75,3575.25,890.0,3575.275,193.0,38.56124044519723,3575.6992901663257,3576.5780587372124,0.9575119615280585,1788.0,-0.8787685708866775,1.0,-94.0,28.385430157625215,27.625,27.375
